Story ID,Feature Area,User Story,Expected Behavior From Code,Primary Evidence,Validation Method,Initial Status,Latest Test Result,Errors / UX Issues,Fix Status,Retest Result,Notes
US-015,Store product browsing,"As a shopper, I can browse the online store and open the apron product page.","Store pages render product cards and apron detail; apron page adds selected item/quantity to localStorage cart and routes to cart.","src/app/on-line-store/page.tsx; src/app/on-line-store/apron/page.tsx; src/lib/store-products.ts; src/lib/store-cart.ts","Browser smoke: /on-line-store -> /on-line-store/apron -> cart.",TESTED_LOCAL,"PASS: /on-line-store /on-line-store/apron /on-line-store/cart returned 200 with visible store/cart text.",,,,
US-016,Cart quote creation,"As a shopper, I can enter customer info and create a quote/order hold from cart.","Cart posts to /api/orders with Idempotency-Key; API validates item IDs, recalculates total from published menu items, validates pay-in-store date, creates QUOTED hold and returns paymentSetup.","src/app/on-line-store/cart/page.tsx; src/app/api/orders/route.ts; src/lib/order-actions.ts; src/lib/validation/orders.ts","Vitest order/status/idempotency tests; browser/API smoke with Supabase test data.",TESTED_LOCAL_WITH_SUPABASE_LIMIT,"PASS: validation/order status/outbox tests passed; cart page rendered 200.",,NOT_APPLICABLE,,"Full order creation was not live-run because it requires Supabase test data and creates records."
US-017,Payment selection and confirmation,"As a shopper, I can confirm human token, choose bank transfer or pay-in-store, and see order completion only after the server action succeeds.","Pay page stores temporary setup in sessionStorage; /api/orders/[id]/actions supports CONFIRM_HUMAN and SET_PAYMENT_METHOD with idempotency and sends confirmation email via durable outbox.","src/app/on-line-store/pay/page.tsx; src/app/on-line-store/order-complete/page.tsx; src/app/api/orders/[id]/actions/route.ts; src/lib/order-notification-outbox.ts","Vitest order action/outbox tests; browser smoke with mocked/test Supabase.",TESTED_LOCAL_WITH_SUPABASE_LIMIT,"PASS: /on-line-store/pay and /on-line-store/order-complete rendered 200; order-notification/outbox/order-status tests passed.",,NOT_APPLICABLE,,"Full payment action was not live-run because it mutates Supabase order state."
US-018,Admin order dashboard,"As staff, I can view orders and perform controlled state transitions, while direct status PUT/DELETE endpoints are disabled.","Dashboard orders GET requires an individual Supabase Auth session, role, and MFA; direct PUT/DELETE return 410; admin actions MARK_PAID/MARK_COLLECTED/MARK_SHIPPED/CANCEL require role checks and idempotency.","src/app/dashboard/orders/page.tsx; src/app/dashboard/orders/orders-client.tsx; src/app/api/dashboard/orders/route.ts; src/app/api/orders/[id]/actions/route.ts","Vitest order status/history tests; browser dashboard smoke with an enrolled staff session.",TESTED_LOCAL_PROTECTED,"PASS: unauthenticated /dashboard/orders redirects to /admin/login; order-status/order-history tests passed.",,NOT_APPLICABLE,,"Authenticated dashboard mutation was not run."
US-019,Bank account dashboard,"As staff, I can view/save/delete bank account data with encrypted history records.","Bank account API requires an individual ADMIN Supabase Auth session, TOTP MFA, and write security; save/delete go through Supabase RPCs and encrypt account number/holder history using dedicated BANK_ACCOUNT_HISTORY_ENCRYPTION_KEY.","src/app/api/dashboard/bank-account/route.ts; src/lib/bank-account-history-crypto.ts; tests/bank-account-history-crypto.test.ts","Vitest crypto/env tests; dashboard API smoke with test Supabase and an enrolled ADMIN session.",TESTED_LOCAL_WITH_SUPABASE_LIMIT,"PASS: bank-account crypto/env tests passed; dashboard paths protected.",,NOT_APPLICABLE,,"True persistence proof requires configured Supabase and was not run."
US-020,LINE customer notification registration (disabled),"As a LINE user, phone-only notification registration must be rejected unless a reservation-issued proof is present.","/api/line/customer-link is fail-closed and returns 410 without reading or writing phone-linked customer state; legacy LINE_PHONE_AUTO_ATTACH_ENABLED cannot enable it.","src/app/line/link/page.tsx; src/app/api/line/customer-link/route.ts; src/lib/env.ts; tests/line-customer-link-route.test.ts; tests/line-env-validation.test.ts","Vitest LINE route/env tests; manual LIFF proof only with real LINE configuration.",TESTED_LOCAL_WITH_EXTERNAL_LIMIT,"PASS: phone-only POST/DELETE are rejected even when the legacy flag is true.",,NOT_APPLICABLE,,"Real LIFF/LINE account proof was not run."
US-021,LINE reservation linking,"As a customer with a reservation, I can link it to LINE only through a reservation-issued token without leaking whether any record exists.","/api/line/link-reservation rejects date/phone/name lookup with 410, verifies LINE ID token for token flow, atomically requires Reservation.status=CONFIRMED and reservationType=NORMAL, and maps state races to safe 409.","src/app/api/line/link-reservation/route.ts; src/lib/line-notification.ts; tests/line-link-reservation-route.test.ts","Vitest LINE link tests; manual LIFF proof only with real LINE configuration.",TESTED_LOCAL_WITH_EXTERNAL_LIMIT,"PASS: lookup-only refusal and cancelled-state race tests passed.",,NOT_APPLICABLE,,"Real LIFF/LINE account proof was not run."
US-022,LINE webhook friend state,"As the LINE platform, I can notify follow/unfollow events and the app records friend/block state securely and durably.","Webhook requires LINE env, x-line-signature, body size limit, HMAC verification before parsing, and stores each webhookEventId in LineWebhookInbox before idempotent processing; handler/DB failures return retryable 503.","src/app/api/line/webhook/route.ts; prisma/schema.prisma; prisma/migrations/20260731101000_add_line_webhook_inbox/migration.sql; tests/line-webhook.test.ts","Vitest webhook signature, inbox, duplicate, DB-failure, and partial-failure tests.",TESTED_LOCAL,"PASS: signed, duplicate, DB-failure, and partial-failure webhook tests passed.",,,,
US-023,LINE reminder cron,"As operations, I can send day-before reminders to eligible linked normal confirmed reservations while respecting free-tier quota.","/api/crons/remind requires Bearer CRON_SECRET; selects tomorrow confirmed normal reservations with lineUserId and no sent timestamp; sequentially sends; records sent/failed/skipped/quota.","src/app/api/crons/remind/route.ts; src/lib/line-notification.ts; tests/line-notification-guards.test.ts; tests/cron-get-bearer.test.ts","Vitest cron auth/guard tests; production cron proof is external.",TESTED_LOCAL_WITH_EXTERNAL_LIMIT,"PASS: cron auth/get-bearer and line-notification guard tests passed.",,NOT_APPLICABLE,,"Production cron execution and LINE delivery were not run."
US-024,Expired order cron,"As operations, expired QUOTED/PENDING_PAYMENT orders are cancelled in bounded batches and archived.","/api/crons/cancel-expired-orders requires Bearer CRON_SECRET; scans up to 200 per run; cancels via order action path; archives terminal history; reports partial failures.","src/app/api/crons/cancel-expired-orders/route.ts; tests/cron-auth.test.ts; tests/cron-get-bearer.test.ts","Vitest cron auth tests; Supabase integration smoke if configured.",TESTED_LOCAL_WITH_SUPABASE_LIMIT,"PASS: cron auth/get-bearer tests passed.",,NOT_APPLICABLE,,"Supabase mutation cron was not run against live data."
US-025,Retention cron,"As operations, old order histories are removed after retention and old terminal order PII is anonymized in bounded batches.","/api/crons/delete-old-histories requires Bearer CRON_SECRET; deletes order_history older than 365 days up to 1000/run; anonymizes old SHIPPED/CANCELLED order PII; deletes expired reservation link tokens older than 7 days past expiry.","src/app/api/crons/delete-old-histories/route.ts; tests/cron-auth.test.ts; tests/cron-get-bearer.test.ts","Vitest cron auth tests; production retention proof is external.",TESTED_LOCAL_WITH_SUPABASE_LIMIT,"PASS: cron auth/get-bearer tests passed.",,NOT_APPLICABLE,,"Retention mutation was not run against live data."
US-026,Reservation backup export,"As operations, I can export reservation backups through route-level bearer-token auth without depending on staff-page middleware.","GET /api/admin/backups/reservations/export authenticates BACKUP_EXPORT_SECRET/x-backup-export-secret and returns validated backup JSON for date ranges; local backup scripts encrypt the payload before writing it to disk.","src/app/api/admin/backups/reservations/export/route.ts; scripts/pull-reservation-backups.ts; tests/backup-export-auth.test.ts; README.md","Vitest backup export auth tests; backup encryption/freshness scripts.",TESTED_LOCAL,"PASS: backup-export-auth and backup-encryption tests passed, including rejection of unauthenticated and legacy Basic requests before schema/DB backup data access.",,,,
US-027,Workspace/reservation safety backups,"As operations, I can run local reservation backup and workspace snapshot checks without exposing PII in reports.","Scripts pull reservation backups, check freshness, and create git bundle snapshots; reports should separate reservation export, workspace bundle, and validation.","scripts/run-local-safety-backups.mjs; scripts/check-reservation-backup-freshness.ts; backups/README.md; tests/backup-freshness-script.test.ts","npm run backup:workspace:snapshot only when intended; unit tests for freshness script.",TESTED_LOCAL_SCRIPT_ONLY,"PASS: backup-freshness-script tests passed.",,NOT_APPLICABLE,,"backup:workspace:snapshot was not run because it may access operational backup data."
US-028,PDF to image conversion,"As authorized staff, I can convert allowed PDFs/images under public/photos while path traversal, symlink traversal, rate, and concurrency risks are controlled.","POST /api/pdf-to-image requires an individual Supabase Auth staff session with TOTP MFA; allows only paths inside public/photos; rejects missing files, symlinks, too many requests, and >2 active conversions.","src/app/api/pdf-to-image/route.ts; src/lib/validation/pdf.ts","API security tests plus targeted route smoke with harmless fixture and an enrolled staff session if enabled.",TESTED_LOCAL_COMPILE_ONLY,"PASS: route compiled in build; api-security tests passed.",,NOT_APPLICABLE,,"Conversion was not executed because it requires an authorized write/API action."
US-029,Agent/AI information endpoints,"As an AI agent or integrator, I can discover site capabilities without changing data.","/agents, /ai, /llms.txt, and /api/agent expose read-only agent-facing information and handoff URLs to booking/store flows.","src/app/agents/page.tsx; src/app/ai/page.tsx; src/app/llms.txt/route.ts; src/app/api/agent/route.ts; src/components/agent-reservation-builder.tsx; src/components/agent-store-builder.tsx","Browser/API smoke for read-only endpoints.",TESTED_LOCAL,"PASS: /agents and /ai returned 200; build included /llms.txt and /api/agent routes.",,,,
US-030,Security envelope for write APIs,"As site owner, cross-site or malformed write requests are rejected consistently.","Shared write security requires JSON, same-origin/BASE_URL origin, rejects Sec-Fetch-Site=cross-site, generally requires X-Requested-With except explicit public/LINE compatibility exceptions.","src/lib/api-security.ts; src/middleware.ts; src/lib/staff-auth.ts; README.md; tests/api-security.test.ts; tests/middleware-auth.test.ts; tests/staff-auth.test.ts","Vitest API security and staff-auth tests; targeted API negative checks.",TESTED_LOCAL,"PASS: api-security, middleware-auth, and staff-auth tests passed; protected browser routes return the Supabase Auth boundary.",,,,
US-031,Environment and logging hardening,"As operator, production starts only with required secrets and logs do not expose sensitive values.","Env validation fail-closes for required production secrets; logger redacts sensitive context and suppresses Error.message in production.","src/lib/env.ts; src/lib/logger.ts; tests/env-validation.test.ts; tests/logger-redaction.test.ts","Vitest env/logger tests.",TESTED_LOCAL,"PASS: env-validation and logger-redaction tests passed.",,,,
US-032,Destructive data guardrail,"As site owner, reservation data, backups, and recovery evidence are not hard-deleted by application or cleanup code.","Repo scanner detects raw Reservation DELETE/TRUNCATE/DROP, prisma delete/deleteMany, and backup/recovery evidence deletion code unless explicitly guarded test helper markers are present.","scripts/security/check-destructive-reservation-queries.mjs; scripts/security/destructive-reservation-scanner.mjs; tests/security-destructive-reservations.test.ts; AGENTS.md","npm run security:destructive; Vitest destructive scanner tests.",TESTED_LOCAL,"PASS: npm run security:destructive OK; destructive scanner tests passed.",,,,
